Peptide,Protein,Y
7kng-CP,5grd-protein,0
7pmd-CP,5zk7-protein,0
2x7k-CP,2x7k-protein,1
7k2g-CP,4zhm-protein,0
4x1p-CP,5wgd-protein,0
6dly-CP,6exv-protein,0
4jna-CP,4jna-protein,1
5hyq-CP,5hyq-protein,1
5dxb-CP,5dxb-protein,1
7bti-CP,7bti-protein,1
5ah2-CP,7plx-protein,0
4gux-CP,4gux-protein,1
3avn-CP,5afg-protein,0
6q4q-CP,6q4q-protein,1
4yv9-CP,4yv9-protein,1
1vwd-CP,1vwd-protein,1
5kez-CP,5jzu-protein,0
3p72-CP,3p72-protein,1
7pmf-CP,7pmf-protein,1
2bcd-CP,2bcd-protein,1
6who-CP,6who-protein,1
4mny-CP,7s5h-protein,0
5zk7-CP,5w18-protein,0
1ikf-CP,1ikf-protein,1
4mzl-CP,5u1q-protein,0
7k2s-CP,5id1-protein,0
5v2q-CP,6wsj-protein,0
6pmd-CP,6pmd-protein,1
1vwq-CP,1vwq-protein,1
6xie-CP,4w50-protein,0
3n84-CP,7dw9-protein,0
7ryc-CP,6u22-protein,0
5t1k-CP,5t1k-protein,1
5whh-CP,4ioi-protein,0
7k2s-CP,6q38-protein,0
7pma-CP,7k2h-protein,0
3avb-CP,1cwb-protein,0
1e4w-CP,1e4w-protein,1
5wxf-CP,7plv-protein,0
2br8-CP,6dn8-protein,0
6whq-CP,6whq-protein,1
3avf-CP,3avf-protein,1
2ck0-CP,2ck0-protein,1
5u5m-CP,5u5m-protein,1
5w8f-CP,5w8f-protein,1
6u8h-CP,6u8h-protein,1
6yw2-CP,6yw2-protein,1
7pml-CP,6dn6-protein,0
1cwj-CP,1cwj-protein,1
4xoj-CP,4xoj-protein,1
5dj8-CP,7pm9-protein,0
5nes-CP,4kts-protein,0
5eeq-CP,5eeq-protein,1
6hzc-CP,3ava-protein,0
6zcd-CP,5djz-protein,0
7pmf-CP,5nes-protein,0
7p1g-CP,7p1g-protein,1
1hxz-CP,7f0c-protein,0
6xif-CP,7pcj-protein,0
4x1q-CP,4x1q-protein,1
7k2k-CP,7dw9-protein,0
3avg-CP,4gux-protein,0
6u72-CP,5v2p-protein,0
4os4-CP,4os4-protein,1
5jzu-CP,5jzu-protein,1
4mny-CP,3bo7-protein,0
4abj-CP,5ney-protein,0
6xsa-CP,6xsa-protein,1
2yja-CP,2yja-protein,1
3qn7-CP,3qn7-protein,1
3wdc-CP,6zrd-protein,0
5dxe-CP,6xid-protein,0
3odl-CP,3odl-protein,1
3rqd-CP,3rqd-protein,1
7plv-CP,4nec-protein,0
3bo7-CP,3bo7-protein,1
6yw3-CP,4k1e-protein,0
3avl-CP,3avl-protein,1
6pbs-CP,6pbs-protein,1
4n84-CP,5ir1-protein,0
4z0f-CP,2axi-protein,0
1vwl-CP,6hzc-protein,0
4mzl-CP,5h5q-protein,0
2x2c-CP,7wic-protein,0
1vwi-CP,6xif-protein,0
3egh-CP,3egh-protein,1
1cwi-CP,1cwi-protein,1
7e5e-CP,7e5e-protein,1
7wj5-CP,7wj5-protein,1
1vwi-CP,1vwi-protein,1
1vwe-CP,1vwe-protein,1
6hzc-CP,6hzc-protein,1
4ou3-CP,4ou3-protein,1
4z09-CP,1vwn-protein,0
6j67-CP,5iv2-protein,0
2cv3-CP,3p8f-protein,0
3mt6-CP,3mt6-protein,1
4x1s-CP,4x1s-protein,1
5wxo-CP,4z0f-protein,0
6dn5-CP,7k2i-protein,0
3mt6-CP,4abi-protein,0
4x1r-CP,4x1r-protein,1
3pqz-CP,6xci-protein,0
6obu-CP,6u8h-protein,0
4x1p-CP,3wdc-protein,0
1vwp-CP,3pmp-protein,0
6yw4-CP,6yw4-protein,1
5n99-CP,5n99-protein,1
4wvt-CP,5w5u-protein,0
6p81-CP,6p81-protein,1
1smf-CP,7k2m-protein,0
1cwm-CP,1cwm-protein,1
1bzh-CP,1bzh-protein,1
7pdz-CP,5wxr-protein,0
5ly2-CP,5ly2-protein,1
7ryc-CP,7k2k-protein,0
6xie-CP,5ney-protein,0
5tu6-CP,5i8m-protein,0
7bph-CP,7bph-protein,1
5eel-CP,5eel-protein,1
4x9r-CP,4x9r-protein,1
2cv3-CP,2yja-protein,0
7pme-CP,7pme-protein,1
6hle-CP,6hle-protein,1
5dxb-CP,4kts-protein,0
1cwf-CP,1cwf-protein,1
5kez-CP,5kez-protein,1
1hxl-CP,1hxl-protein,1
6u8m-CP,6u8m-protein,1
5dxe-CP,5dxe-protein,1
4mnx-CP,6d40-protein,0
3avm-CP,6y0u-protein,0
1cwo-CP,5dj0-protein,0
5h5q-CP,4ipz-protein,0
6ptv-CP,6ptv-protein,1
7pcj-CP,7pcj-protein,1
7ei2-CP,1bm2-protein,0
3ava-CP,5jme-protein,0
5c3g-CP,5c3g-protein,1
7pmh-CP,4gux-protein,0
7pmc-CP,7pmc-protein,1
5i8x-CP,5i8x-protein,1
3e7a-CP,3e7a-protein,1
6xib-CP,4gvu-protein,0
5lrg-CP,7rnw-protein,0
5jme-CP,1qnh-protein,0
4i5l-CP,4os6-protein,0
5w89-CP,5w89-protein,1
4y1d-CP,4y1d-protein,1
2wfj-CP,7n0w-protein,0
7plu-CP,7plu-protein,1
6q38-CP,3egh-protein,0
4mny-CP,4mny-protein,1
2yjd-CP,2yjd-protein,1
7pmh-CP,7pmh-protein,1
6wi3-CP,1cwh-protein,0
4ou3-CP,1cwf-protein,0
5vb9-CP,5vb9-protein,1
2rmb-CP,2rmb-protein,1
7pmd-CP,7pmd-protein,1
7plt-CP,5j31-protein,0
4z0e-CP,4z0e-protein,1
5u5f-CP,5u5f-protein,1
6y0v-CP,4zhm-protein,0
5h5q-CP,4gvu-protein,0
5i8m-CP,5i8m-protein,1
3avk-CP,3avk-protein,1
4ez1-CP,5lrg-protein,0
3v3b-CP,3v3b-protein,1
3wng-CP,3wng-protein,1
4gly-CP,1vpp-protein,0
5wxf-CP,5wxf-protein,1
5id0-CP,5id0-protein,1
1b6j-CP,1b6j-protein,1
5lrg-CP,7wj5-protein,0
7plt-CP,4gw5-protein,0
5wxo-CP,5h5r-protein,0
7dw9-CP,7dw9-protein,1
4w50-CP,6u72-protein,0
3wnh-CP,3wnh-protein,1
5vi6-CP,5vi6-protein,1
4tot-CP,4mny-protein,0
3tdz-CP,3tdz-protein,1
3wng-CP,2br8-protein,0
5grd-CP,5grd-protein,1
5dxe-CP,7rov-protein,0
5djx-CP,3pp4-protein,0
2bdx-CP,2bdx-protein,1
4ou3-CP,2yq6-protein,0
5u6a-CP,5u6a-protein,1
6dn5-CP,6dn5-protein,1
7plv-CP,4jk5-protein,0
4jk6-CP,4jk6-protein,1
6dly-CP,3g5v-protein,0
5djc-CP,5zjz-protein,0
7pm7-CP,1cwb-protein,0
5zml-CP,5hsv-protein,0
6xid-CP,6xid-protein,1
5tyi-CP,5tyi-protein,1
1vwl-CP,1vwl-protein,1
6u4a-CP,6u4a-protein,1
4zqw-CP,4zqw-protein,1
6u71-CP,1cwc-protein,0
4i5l-CP,7knf-protein,0
7pme-CP,1vwj-protein,0
5o4y-CP,5o4y-protein,1
7pma-CP,7pma-protein,1
7k2n-CP,5w89-protein,0
6b67-CP,6b67-protein,1
6pv9-CP,6pv9-protein,1
5vk0-CP,1e4w-protein,0
4ktu-CP,4ktu-protein,1
3wnf-CP,3wnf-protein,1
3p72-CP,7fep-protein,0
1vwp-CP,1vwp-protein,1
6u72-CP,6u72-protein,1
7pdz-CP,5xco-protein,0
4jjm-CP,4jjm-protein,1
6y0u-CP,3odi-protein,0
7ehz-CP,7ehz-protein,1
6xsa-CP,1cwj-protein,0
6dn7-CP,6dn7-protein,1
1fjm-CP,1fjm-protein,1
1vwr-CP,5y7w-protein,0
7egr-CP,4x1p-protein,0
5grd-CP,5w5s-protein,0
7k2g-CP,7k2g-protein,1
4gvu-CP,4z0e-protein,0
7ei2-CP,3n7y-protein,0
1vpp-CP,1vpp-protein,1
4x1p-CP,4x1p-protein,1
5jm4-CP,5jm4-protein,1
5agv-CP,5id1-protein,0
6xic-CP,7aa4-protein,0
7fep-CP,6d3y-protein,0
6xif-CP,5vi6-protein,0
4mzj-CP,4mzj-protein,1
5wgq-CP,5wgq-protein,1
1hxl-CP,1cwk-protein,0
1cyn-CP,1cyn-protein,1
3zgc-CP,3zgc-protein,1
6exv-CP,6exv-protein,1
5ly1-CP,5ly1-protein,1
4z0d-CP,6y0v-protein,0
5hyq-CP,6hzb-protein,0
4zhl-CP,4zhl-protein,1
3s04-CP,3s04-protein,1
5dxb-CP,5afg-protein,0
4x9v-CP,4x9v-protein,1
6a8n-CP,6a8n-protein,1
6dn6-CP,6hmz-protein,0
5t1l-CP,6q4q-protein,0
6z3f-CP,2cv3-protein,0
4x9v-CP,3zgc-protein,0
5dk0-CP,5dxe-protein,0
5dk0-CP,7fep-protein,0
1bzh-CP,3avi-protein,0
1vwk-CP,1vwk-protein,1
6xic-CP,5jme-protein,0
4n5t-CP,4n5t-protein,1
6dn6-CP,1vwl-protein,0
4wvt-CP,4wvt-protein,1
1cwo-CP,1cwo-protein,1
3avf-CP,5zk9-protein,0
1vwn-CP,1vwn-protein,1
6yw4-CP,5c3f-protein,0
3oy6-CP,6t2d-protein,0
6exv-CP,2poy-protein,0
5ney-CP,6u71-protein,0
6dn8-CP,6dly-protein,0
5w5u-CP,5w5u-protein,1
5u06-CP,5vk0-protein,0
5euk-CP,5euk-protein,1
1jk4-CP,1jk4-protein,1
1jk4-CP,4gvu-protein,0
7plx-CP,7plx-protein,1
1vwn-CP,5c3f-protein,0
6xbe-CP,6xbe-protein,1
5grg-CP,5grg-protein,1
1tmb-CP,1tmb-protein,1
5w8f-CP,1sld-protein,0
6xs8-CP,6xs8-protein,1
5w89-CP,6q4q-protein,0
7k2q-CP,2byp-protein,0
4wvu-CP,2nwn-protein,0
7n43-CP,6xif-protein,0
4zks-CP,4zks-protein,1
3avg-CP,6u8i-protein,0
7plx-CP,2c9t-protein,0
4mnw-CP,6h22-protein,0
5c3g-CP,3oy5-protein,0
5agv-CP,5whh-protein,0
6hle-CP,4gvu-protein,0
4zks-CP,6u22-protein,0
4os2-CP,4os2-protein,1
1vwq-CP,6zrd-protein,0
4mnx-CP,4mnx-protein,1
3avf-CP,4abj-protein,0
6z3f-CP,5cs2-protein,0
1yf4-CP,7pmd-protein,0
3pp4-CP,3pp4-protein,1
5f88-CP,5f88-protein,1
5wxf-CP,5hsv-protein,0
3odi-CP,3odi-protein,1
7knf-CP,7knf-protein,1
7kfa-CP,7kfa-protein,1
7pmh-CP,5djd-protein,0
3wdc-CP,3wdc-protein,1
1xq7-CP,1xq7-protein,1
4mnw-CP,4mnw-protein,1
7fep-CP,7fep-protein,1
1vwk-CP,7kh0-protein,0
5dj0-CP,5dj0-protein,1
3egh-CP,2byp-protein,0
4i5l-CP,5djz-protein,0
1cwc-CP,1cwc-protein,1
2bdx-CP,6h22-protein,0
1tk2-CP,1tk2-protein,1
7pmj-CP,7pmj-protein,1
5lrk-CP,5lrk-protein,1
6azk-CP,6azk-protein,1
1cwo-CP,6hza-protein,0
6q4q-CP,1vwo-protein,0
6c1r-CP,5agu-protein,0
5kez-CP,1bzh-protein,0
4k1e-CP,5dj8-protein,0
5o45-CP,5o45-protein,1
4os6-CP,5di8-protein,0
5zk5-CP,5zk5-protein,1
7k2o-CP,7k2o-protein,1
4m1d-CP,4m1d-protein,1
1vwl-CP,6z3f-protein,0
2z6w-CP,1vwr-protein,0
5wgq-CP,4m1d-protein,0
6nnv-CP,6j67-protein,0
4n7y-CP,4w4z-protein,0
6q38-CP,3avk-protein,0
4kel-CP,4kel-protein,1
4k1e-CP,4k1e-protein,1
3wbn-CP,5h5r-protein,0
3wnh-CP,4ipz-protein,0
7k2g-CP,6wi3-protein,0
6u22-CP,6u22-protein,1
7pm5-CP,7plv-protein,0
6hmz-CP,6hmz-protein,1
4z09-CP,4z09-protein,1
3wne-CP,3wne-protein,1
6c1r-CP,5tyi-protein,0
4os1-CP,1qr3-protein,0
4jk5-CP,4jk5-protein,1
4xoj-CP,7wic-protein,0
5agu-CP,5agu-protein,1
1hxl-CP,1vwd-protein,0
5vk0-CP,5vk0-protein,1
5xco-CP,5xco-protein,1
7ei2-CP,7ei2-protein,1
3wmg-CP,3wmg-protein,1
4y1c-CP,4y1c-protein,1
5c3f-CP,5c3f-protein,1
7pm5-CP,7pm5-protein,1
5jme-CP,5jme-protein,1
7k2p-CP,7k2p-protein,1
2axi-CP,6t2f-protein,0
1cwm-CP,7n43-protein,0
4abj-CP,4abj-protein,1
5dxe-CP,5dj8-protein,0
7f0f-CP,7f0f-protein,1
3wde-CP,2poy-protein,0
5u6a-CP,5tu6-protein,0
5eel-CP,2cv3-protein,0
5dx3-CP,5dx3-protein,1
7ei2-CP,4kel-protein,0
2rmc-CP,3rqd-protein,0
1sfi-CP,4jk6-protein,0
6xie-CP,1e4w-protein,0
6t2f-CP,7kng-protein,0
4mzl-CP,3mt6-protein,0
5zml-CP,3e7a-protein,0
6zbr-CP,6zbr-protein,1
4abj-CP,7plu-protein,0
1sld-CP,5wgd-protein,0
5tu6-CP,5tu6-protein,1
4gw1-CP,5ivz-protein,0
7pm8-CP,7pm8-protein,1
7rnw-CP,5jme-protein,0
3pqz-CP,3pqz-protein,1
4os1-CP,1vwj-protein,0
5h5s-CP,5h5s-protein,1
6nnv-CP,7f0f-protein,0
6pka-CP,4z0f-protein,0
1cwf-CP,6vxy-protein,0
6xs7-CP,6xs7-protein,1
6pka-CP,5u5m-protein,0
5euk-CP,5t1k-protein,0
5hsv-CP,5hsv-protein,1
1cwc-CP,4ktu-protein,0
1cwf-CP,6b67-protein,0
6dm6-CP,6dm6-protein,1
5n99-CP,5id0-protein,0
7k2k-CP,7k2k-protein,1
5grd-CP,3tdz-protein,0
7pma-CP,1cpi-protein,0
6vxy-CP,6vxy-protein,1
5nes-CP,5nes-protein,1
3p72-CP,4i5l-protein,0
1b6j-CP,6obu-protein,0
5w5s-CP,5w5s-protein,1
6xvd-CP,6xvd-protein,1
6z13-CP,6z13-protein,1
5eoc-CP,5eoc-protein,1
7plw-CP,4z0e-protein,0
4k1e-CP,2br8-protein,0
4z0f-CP,1qr3-protein,0
6t7z-CP,6t7z-protein,1
3wnf-CP,5id1-protein,0
1cwa-CP,5nes-protein,0
4w50-CP,4jk5-protein,0
7pmj-CP,5afg-protein,0
3avn-CP,6pv9-protein,0
5c3f-CP,5iv2-protein,0
1sfi-CP,4kts-protein,0
6q38-CP,6zrd-protein,0
7egu-CP,4zks-protein,0
7k2g-CP,6xs7-protein,0
1vwo-CP,6wsj-protein,0
7ehz-CP,5lso-protein,0
3avh-CP,3avh-protein,1
5iv2-CP,5iv2-protein,1
4mzj-CP,7pdz-protein,0
4n84-CP,4n84-protein,1
6u22-CP,5v2p-protein,0
1t7d-CP,1t7d-protein,1
7nus-CP,5c3g-protein,0
4w50-CP,4w50-protein,1
4y1d-CP,5i8m-protein,0
1ikf-CP,3avf-protein,0
7k2r-CP,1smf-protein,0
6dn6-CP,6c1r-protein,0
6dn8-CP,4zhm-protein,0
5dvn-CP,6z13-protein,0
3g5v-CP,3g5v-protein,1
2z6w-CP,7wic-protein,0
5iop-CP,5iop-protein,1
7bti-CP,1cyn-protein,0
7k2f-CP,6xib-protein,0
5dx3-CP,1c5f-protein,0
7vfu-CP,7vfu-protein,1
5jzu-CP,3avm-protein,0
1vwj-CP,5grd-protein,0
5di8-CP,5di8-protein,1
7bb7-CP,7bb7-protein,1
7egr-CP,7egr-protein,1
4x9r-CP,5iop-protein,0
3avf-CP,6j8e-protein,0
5dvl-CP,5dvl-protein,1
1c5f-CP,1c5f-protein,1
7pmb-CP,5afg-protein,0
1vwc-CP,4ktu-protein,0
5dx3-CP,5lrk-protein,0
4n5t-CP,1g9i-protein,0
4n5t-CP,5u6a-protein,0
6xs5-CP,7pmd-protein,0
5id1-CP,4x1p-protein,0
5ah4-CP,7oc2-protein,0
3kti-CP,3kti-protein,1
4gly-CP,6d3z-protein,0
5wxf-CP,3avl-protein,0
7k2f-CP,7k2f-protein,1
5y7w-CP,6d3x-protein,0
1vwm-CP,1vwm-protein,1
1sld-CP,1sld-protein,1
4xoj-CP,6u8m-protein,0
5ah4-CP,5ah4-protein,1
4gw1-CP,4gw1-protein,1
1mik-CP,1mik-protein,1
7plt-CP,3ava-protein,0
5h5q-CP,5h5q-protein,1
5vi6-CP,5afg-protein,0
3s04-CP,5v2q-protein,0
6y0v-CP,6y0v-protein,1
5whh-CP,5whh-protein,1
7k2s-CP,7k2s-protein,1
5grg-CP,7ad9-protein,0
7bb6-CP,7bb6-protein,1
5kez-CP,6yw2-protein,0
3avb-CP,5vb9-protein,0
4i5l-CP,4i5l-protein,1
2cv3-CP,2cv3-protein,1
6dn5-CP,2cv3-protein,0
5dxe-CP,3rqd-protein,0
4abi-CP,4abi-protein,1
3p72-CP,5zk7-protein,0
6hle-CP,7plt-protein,0
2nwn-CP,2nwn-protein,1
1cwl-CP,1cwl-protein,1
4mzl-CP,4mzl-protein,1
1vwc-CP,1vwc-protein,1
3avm-CP,6exv-protein,0
6y4q-CP,6y4q-protein,1
4z0d-CP,4z0d-protein,1
6q4q-CP,5ivz-protein,0
5dkp-CP,5dkp-protein,1
2yja-CP,4os7-protein,0
1vwr-CP,1vwr-protein,1
6pka-CP,6pka-protein,1
6pv9-CP,6hzc-protein,0
5hyr-CP,2oju-protein,0
5j31-CP,4gw5-protein,0
5y7w-CP,5y7w-protein,1
3kti-CP,6wi3-protein,0
5lrg-CP,5lrg-protein,1
7oc2-CP,1qr3-protein,0
7wic-CP,7wic-protein,1
7rov-CP,7rov-protein,1
6xsa-CP,1bm2-protein,0
5w5u-CP,1tk2-protein,0
5u06-CP,5u06-protein,1
5bxo-CP,5bxo-protein,1
4os1-CP,4os1-protein,1
6q1u-CP,7pmc-protein,0
5wxf-CP,6xib-protein,0
7f0c-CP,7f0c-protein,1
7bb6-CP,5u06-protein,0
1vpp-CP,6t7z-protein,0
1qnh-CP,1vwi-protein,0
5j31-CP,3zgc-protein,0
3ox7-CP,3ox7-protein,1
5jm4-CP,5eoc-protein,0
7aa4-CP,7aa4-protein,1
1bck-CP,1bck-protein,1
7n43-CP,7pm8-protein,0
7pm8-CP,3wdd-protein,0
3ava-CP,3ava-protein,1
5cs2-CP,5cs2-protein,1
1smf-CP,1smf-protein,1
5vi6-CP,6dn7-protein,0
7k2l-CP,5afg-protein,0
7nus-CP,7nus-protein,1
7rnw-CP,7rnw-protein,1
6xci-CP,6xci-protein,1
3avn-CP,3avn-protein,1
6ptr-CP,6ptr-protein,1
7ad9-CP,6q4q-protein,0
6t2d-CP,6t2d-protein,1
5o4y-CP,6ayn-protein,0
5ir1-CP,5ir1-protein,1
1cwk-CP,1cwk-protein,1
6d8c-CP,6d8c-protein,1
4os2-CP,4tot-protein,0
6zcd-CP,6zcd-protein,1
5u66-CP,5u66-protein,1
4os7-CP,4os7-protein,1
5dxe-CP,1bzh-protein,0
1jk4-CP,6y0u-protein,0
4jjm-CP,5kez-protein,0
4ou3-CP,7plu-protein,0
7rov-CP,1cwa-protein,0
5jm4-CP,6hy7-protein,0
3pp4-CP,5nes-protein,0
1cwf-CP,6xs7-protein,0
5ivz-CP,5ivz-protein,1
5tyi-CP,1c5f-protein,0
7kh0-CP,5wxf-protein,0
5grd-CP,3avb-protein,0
5dvn-CP,5jme-protein,0
4z0f-CP,4z0f-protein,1
4zjx-CP,6whq-protein,0
2cv3-CP,1tmb-protein,0
7k2h-CP,5tu6-protein,0
4n5t-CP,7k2l-protein,0
7f0c-CP,6z3f-protein,0
2br8-CP,2br8-protein,1
6xvd-CP,5iv2-protein,0
5f88-CP,4hgc-protein,0
4jk6-CP,7kh0-protein,0
4x1r-CP,6d8c-protein,0
5lrj-CP,5lrj-protein,1
1hqq-CP,1hqq-protein,1
6d3z-CP,6d3z-protein,1
7tpt-CP,7tpt-protein,1
4nec-CP,4nec-protein,1
5v2q-CP,5v2q-protein,1
4zhm-CP,4zhm-protein,1
6z3f-CP,6z3f-protein,1
4w50-CP,7kfa-protein,0
7k2n-CP,7k2n-protein,1
6xib-CP,6xs7-protein,0
6q38-CP,6q38-protein,1
6who-CP,5di8-protein,0
6c1d-CP,6c1d-protein,1
7pme-CP,7mix-protein,0
4ez1-CP,4ez1-protein,1
6u8m-CP,1vwj-protein,0
7pmb-CP,3kti-protein,0
3m61-CP,3m61-protein,1
6xs5-CP,6xs5-protein,1
3avj-CP,3avj-protein,1
7s5h-CP,7s5h-protein,1
6hzd-CP,6hzd-protein,1
5djz-CP,5djz-protein,1
4os5-CP,4mzj-protein,0
3wde-CP,3wde-protein,1
4ib5-CP,2c9t-protein,0
1g9i-CP,1g9i-protein,1
5whh-CP,2z6w-protein,0
2wfj-CP,2wfj-protein,1
3oy5-CP,3oy5-protein,1
5u1q-CP,5u1q-protein,1
5i8x-CP,6yw4-protein,0
7plv-CP,7plv-protein,1
3n84-CP,3n84-protein,1
