Peptide,Protein,Y
Q3E843,P25654,0
P0ADB4,P69856,0
A0A663DJA2,Q16629,1
P77091,P0AAV4,0
P77091,P0AD35,0
Q47272,P77091,1
P0ADB4,P0C093,1
A0A663DJA2,P21796,1
P56976,P0A715,1
P56976,P08373,0
P0ADB4,P0AFW8,0
Q3E801,P45976,0
P0ADB4,P37681,1
Q6BF25,P0A9L5,1
P76164,P0A988,1
Q3E781,P38913,0
Q8TGS7,P43563,0
Q7TFA1,Q9NU53,1
P0A7Q6,P0ADZ0,0
P77091,P0AEE8,1
P77091,P75745,0
Q99380,P23638,0
Q99380,P38271,0
P0ADB4,P0ACV0,0
Q3E741,P38279,0
Q99380,P32178,0
P77091,P43319,0
P0CX86,P47155,0
Q2EES1,P0A6N4,1
Q3E843,Q03554,0
P56976,P36548,0
Q8TGT6,O14468,0
P0C269,P40479,0
Q99380,P02406,0
Q3E737,P34162,0
P76164,P0A9X4,1
P56976,P60472,0
Q47272,P0ABW3,1
Q7TFA1,Q99747,1
P56976,P0ADB4,1
P56976,P75792,1
Q3E767,Q03579,0
P0ADB4,P0ABG7,0
P0A7Q6,P0ABU7,0
P77091,P31061,1
P76164,Q47269,0
Q47272,P08373,1
P56976,P64596,0
Q99380,P48606,0
Q3E732,Q04477,0
Q99380,Q02795,1
P0ADB4,P75728,1
P0CY04,P28320,0
Q7TFA1,Q8N5M9,1
Q3E781,P07560,0
Q3E7Z6,Q03784,0
P0CY04,P47123,0
Q3E7A0,P87275,0
P76164,P0ACI6,0
P77091,P05100,1
P0ADB4,P77790,1
P0ADB7,P23877,1
Q47272,P77173,1
Q8TGU5,P38987,0
Q7TFA1,P14209,1
P0ADB4,P28911,0
A0A663DJA2,P51148,1
P76164,P0A9H1,1
Q8TGT6,Q07534,0
Q99380,P49167,0
P0CY04,P53146,0
Q3E737,Q08920,0
Q3E818,P47178,0
A0A663DJA2,P56556,1
Q8TGT6,Q12157,0
P0CX86,P49166,1
Q99380,Q03125,0
P77091,P69425,1
Q99380,Q04772,0
Q99380,P25560,0
P0ADB4,P76773,0
P56976,P0AAG0,0
Q99380,P43582,0
P56976,P0A6I6,0
P56100,P0A800,0
P0CX86,P38182,0
Q8TGT3,P33201,0
P0ADB7,P0ABZ4,1
P0ADB7,P0A964,0
A0A663DJA2,P30085,1
P56100,P0AFM9,1
Q8TGR9,P22214,0
P77091,P39310,1
P0CX86,P40525,1
P56976,P61316,0
Q7TFA1,Q5U3C3,1
P0ADB4,P0ABH4,1
Q7TFA1,Q96B96,1
Q8TGQ7,P33411,0
Q8TGT6,P53981,0
P20065,O09114,1
Q8TGT1,P11746,0
P0C269,P25642,0
A0A663DJA2,Q9Y224,1
Q47272,P77735,1
P77091,P0ACI0,1
Q3E818,P43577,0
A0A663DJA2,P06753,1
P0ADB7,P76082,0
Q99380,P39516,0
Q99380,Q04773,0
Q3E789,P08431,0
Q8TGU8,P36149,0
P77091,P23840,1
P0C271,Q06636,0
Q8TGQ7,P04449,0
Q3E7Z3,P52920,0
P76164,P0A6D7,0
P76164,P33355,0
A0A663DJA2,P21796,1
Q3E758,P40344,0
P0A7Q6,P0A7G2,0
Q8TGU1,P26449,0
P56976,P15029,0
Q99380,P40075,0
Q3E7Y8,P25337,0
Q99380,P20052,0
Q3E7A6,P25560,0
A0A663DJA2,Q9UBS4,1
P0ADD9,P28306,1
Q3E802,P38913,0
Q7TFA1,P10620,1
Q99380,P40493,0
P76164,P77616,0
Q6BF25,P28306,1
Q99380,P38921,0
P34069,O60137,0
P56976,P0A908,0
Q3E7Z7,P32447,0
Q47272,P11289,1
P34166,Q03067,0
P77091,P0C0R7,0
P0ADB4,P75806,1
Q3E801,P40993,0
Q8TGT6,P53900,0
Q99380,P38813,0
P0ADB4,P32055,0
Q99380,Q06707,0
Q99380,P32388,0
A0A663DJA2,Q9BYD6,1
Q3E843,Q02516,0
Q3E837,Q99190,0
A0A663DJA2,Q99497,1
Q3E781,P22214,0
P0CY04,P38913,0
Q3E778,P22214,0
Q7TFA1,Q7TFA1,1
P0ADB7,P28306,0
Q3E732,P36141,0
P0A7Q6,P07012,0
P77091,P0C093,1
P0CY04,P01123,0
Q99380,P47085,0
Q8TGT6,P34087,0
Q47272,P0A9L5,1
P56976,P25666,1
P0A7Q6,P0AA37,0
P0ADB7,P09147,0
P0CX86,P0CX27,1
Q7TFA1,Q9Y3B3,1
P56976,P31057,1
P0CX86,Q05635,0
P0A7Q6,P0C0R7,0
Q7TFA0,Q15006,1
Q99380,Q02205,0
P56976,P0AC69,0
P64508,P0A968,0
P34166,P0CX36,0
Q3E758,P32912,0
Q3E843,P36007,0
Q8TGQ7,P25344,0
Q8TGJ2,P43563,0
A0A663DJA2,Q99623,1
Q3E781,P11747,0
P56976,P09348,1
P76061,P0A6B4,0
Q8TGQ7,P40484,0
Q99380,Q12016,0
Q7TFA1,B2RUZ4,1
Q8TGS7,P00942,0
P0A7Q6,P0AA43,0
Q47272,P0A9H1,1
Q8TGQ7,P20459,0
A0A663DJA2,O00560,1
P62522,P0AEW1,1
Q8TGT2,P40364,0
P77091,P0AEZ3,1
Q8TGU1,P53909,0
P0CX86,O13578,0
P0A7Q6,P0AFX0,0
Q3E781,Q08920,0
Q47272,P77616,1
P0CY04,P43563,0
A0A663DJA2,Q9BU02,1
Q99380,P25087,0
P34166,P32642,0
Q3E775,P53156,0
Q8TGU5,P22214,0
P0A7Q6,P0AC30,0
Q99380,P40540,0
P0ADB4,P77737,0
A0A663DJA2,P45973,1
P0ADB4,P19925,1
P56976,P0A9H9,0
P0CX86,P47155,0
Q99380,P38063,0
Q7TFA1,O15400,1
P56976,P18390,1
Q8TGQ7,P33448,0
P0ADB7,P75830,0
Q3E758,P53630,0
Q8TGS7,P05317,0
P0CX86,P25343,0
P0AD89,P76423,1
P0A7Q6,P32694,0
A0A663DJA2,P11233,1
Q8TGT8,P47086,0
Q3E801,Q04226,0
P0A7Q6,P45475,0
Q99380,P48439,0
P0ADB7,P0C0T5,0
Q3E781,P14682,0
Q3E789,P40484,0
Q99380,P33448,0
Q8TGT6,P0CX40,0
P0ADB4,P27242,1
P0CX86,P53072,0
Q8TGU1,P38736,0
Q3E781,P15646,0
P0ADB7,P0AC05,0
Q3E7A0,P30656,0
P0ADB4,P0ADV9,1
A0A663DJA2,O43678,1
Q99380,P25343,0
P76164,P0ADJ5,1
P34166,P53188,0
Q3E7Y7,P32910,0
P77494,P0A8D9,1
P77091,P08337,1
Q3E7A0,Q05024,0
Q3E820,Q12522,0
P0ADB4,P77202,0
P77091,P0A6D7,1
Q3E775,Q12164,0
P0CY04,P47172,1
Q47272,Q46899,1
P0CX86,P05738,1
P77091,P42641,1
Q8TGJ2,P34087,0
P56976,P0ABV2,1
Q7TFA1,P28907,1
P56976,P25741,1
P0ADB4,P0ADW3,1
Q8TGS7,P11747,0
Q7TFA1,O60830,1
Q3E801,Q01590,0
Q99380,P48439,1
Q7TFA0,Q9NPA0,1
Q3E732,Q08920,0
P0ADB4,P27833,0
A0A663DJA2,O00151,1
Q3E801,P07807,0
Q99380,P39013,0
Q99380,Q12118,0
P0AD89,P0AFW8,1
P0ADB7,P69423,0
P77091,P75855,1
Q8TGQ7,Q06333,0
P77091,P0C066,1
Q8TGS7,Q05498,0
P77091,P32056,0
Q99380,Q12395,0
Q3E781,P43563,0
P0CX86,Q3E792,0
Q8TGS7,P38242,1
A0A663DJA2,P54920,1
Q3E820,P43563,0
Q99380,P40518,0
A0A663DJA2,P63172,1
P34069,Q9HE10,0
P77091,P0A8R4,0
Q3E781,P20459,0
Q3E7A0,P40857,0
Q8TGQ7,P17076,0
Q3E789,P25299,0
Q8TGV0,P35179,0
Q3E781,Q12328,0
Q3E7B0,P25586,0
P0AAW9,Q46927,1
A0A663DJA2,O00264,1
P0ADB7,P0ABD8,1
Q3E7Z7,P00572,0
Q3E813,P53277,0
P77091,P76509,1
Q3E737,P53965,0
Q99380,P40217,0
P34166,P46961,0
P0AD89,P36659,0
Q99380,P41546,0
Q8TGJ2,P38910,0
Q8TGU8,Q12082,0
P77091,P76362,0
A0A663DJA2,Q7Z7K6,1
Q8TGU8,Q12248,0
Q99380,P05747,0
Q99380,P32496,0
P77091,P00954,1
Q8TGS6,P25337,0
Q8TGS7,P30657,1
P0A7Q6,P75863,0
P77091,P06968,1
P62522,P39286,0
P56976,P52599,0
P56976,P77467,0
P56976,P0A8Q3,0
P34166,Q04658,0
A0A663DJA2,P09936,1
Q99380,Q07951,0
P0ADB4,P69212,0
Q8TGS7,P32495,0
Q2EES1,P09158,1
Q2EES6,P0AFN2,0
Q3E820,P22696,0
Q8TGT2,Q05926,0
P0ADB4,P0A6S7,1
P0ADB4,P0AFT5,1
Q3E7B0,P15019,0
Q8TGQ7,Q07560,0
Q7TFA1,Q12907,1
Q99380,Q03390,0
Q8TGQ7,Q03880,0
P0CX86,P26321,0
P0ADB4,P02931,1
Q99380,Q03049,0
P77091,P0AGJ2,1
P56976,P02931,0
P56976,Q47534,0
P77494,P08371,1
Q47272,P0A800,1
Q99380,P21825,0
P0CX86,P38182,0
Q3E775,P38182,0
Q99380,P40565,0
P56976,P75734,1
P76164,P0AGB0,0
Q47272,P37681,0
Q99380,P50946,0
Q7TFA1,Q9H813,1
Q99380,Q99176,0
P0ADB7,P06616,0
Q99380,P43592,0
Q8TGQ7,P53311,0
P0ADB4,P15031,1
Q99380,P40505,0
P0CY04,P38305,0
Q8TGT6,P32656,0
Q99380,P21705,0
Q8TGS7,Q99190,0
P0CX86,P25608,0
P77091,Q46898,1
A0A663DJA2,Q00796,1
Q7TFA1,O15121,1
P0CY04,Q03691,0
P56976,P0AE98,1
Q3E7A0,P11746,0
P64508,P0AC69,0
P56976,P0AB31,0
P0A7Q6,P0A873,0
P77091,P0AA60,1
P0AAW9,Q46832,0
P0ADB4,P07000,1
Q99380,P53728,0
Q3E813,P38710,0
P56976,P0ADC1,0
P56976,P33030,1
P56100,P63020,0
A0A663DJA2,Q86U42,1
P64442,P39286,1
P56976,P0ADC3,0
P77091,P0A809,0
Q8TGQ7,P53251,0
Q8TGQ7,P53604,0
Q99380,Q99260,0
Q8TGT6,P38300,0
Q99380,P53168,0
Q99380,P47120,0
A0A663DJA2,Q00059,1
P77091,P36566,1
Q3E7B0,P38777,0
Q3E737,P39926,0
P77091,P15006,1
Q8TGT1,P38270,0
Q3E781,P29055,0
Q8TGJ2,P45976,0
Q7TFA1,P32970,1
Q3E7B0,P40344,0
Q2EES1,P0ABE2,0
P0ADB7,P39295,0
Q3E7Z7,P29703,0
Q47272,P76482,1
Q99380,Q12350,0
A0A663DJA2,Q9UBE0,1
Q3E801,P32897,0
Q8TGS2,P53066,0
Q3E820,P20081,0
Q99380,O13563,0
P0CX86,P0CX23,1
P34166,P0CX32,0
P0ADB4,P76372,1
P77091,P39404,1
P77091,Q9Z3A0,1
Q3E7Z7,Q08962,0
A0A663DJA2,P08865,1
Q7TFA1,P32856,1
Q8TGT6,Q04773,0
P0ADB4,P0ACD2,0
Q99380,P40961,0
Q3E820,P40993,0
Q7TFA1,Q8N614,1
Q99380,Q12461,0
Q8TGT6,P36141,0
P0ADB4,P61316,1
P56976,P64448,1
P0ADB4,P26266,1
P0AD89,P0AFN2,1
Q47272,P75672,1
Q99380,Q12746,0
Q3E781,P43577,0
P0CX86,P38632,0
P64567,P76084,1
Q47272,P0AC30,1
Q3E781,Q06819,0
P0CY04,P32495,0
P0ADB7,P0AF06,0
P0A7Q6,P52129,0
P76164,P07026,0
P56976,P0A9A6,1
P56976,P0ACV6,0
P0ADD9,P08337,0
Q3E801,P21825,0
P0CY04,P0CX40,0
P56976,P45564,1
P0CX86,P15731,0
Q8TGT8,P0CX34,0
Q7TFA1,P60468,1
Q99380,P15873,0
Q99380,P18238,0
P0ADB7,Q46927,0
Q99380,Q04487,0
Q99380,P47111,0
Q99380,P26449,0
P0ADB7,P0AE88,1
Q3E818,P53965,0
P0ADB4,P0AEP3,1
Q7TFA1,O14662,1
P0ADB4,P27836,0
Q3E789,P38326,0
P77091,P0A7G6,0
P56976,P0ADN6,1
Q3E789,P53905,0
Q99380,P46947,0
Q3E815,Q99190,0
A0A663DJA2,P08865,1
Q3E774,P36149,0
P0CX86,Q08687,1
Q99380,P53192,0
Q3E808,Q12488,0
P76164,P11664,0
Q3E813,P35127,0
Q3E767,P47017,0
P0ADB4,P46482,1
Q3E820,P41546,0
P0CX86,Q08004,1
Q99380,P25560,0
Q8TGT6,P38326,0
Q7TFA1,P51153,1
Q3E732,P38634,0
Q3E737,P38801,0
P0ADB7,P37642,0
P0CX86,P05748,1
Q8TGS6,P38326,0
Q3E782,P30656,0
Q7TFA0,Q9H488,1
P34069,O14175,0
Q3E843,Q02516,0
P76164,P0A7G6,0
P37305,P76423,1
P0C271,P30657,0
P0A7Q6,P32693,0
P77091,P0A988,1
Q3E775,Q01976,0
P80967,P18888,0
A0A663DJA2,Q99614,1
P56976,P0AEP3,0
P34166,P36088,0
P34166,Q99382,0
P56976,P0A917,0
Q99380,Q06810,0
Q3E767,Q12051,0
Q8TGS7,P21242,1
Q3E7Z7,P47172,0
Q99380,P32179,0
P0CY04,P36162,0
Q99380,P47044,0
P77091,P39375,1
P56976,P0A6Q6,1
P0ADD9,Q46832,0
A0A663DJA2,Q9UKD2,1
P40975,P40505,0
Q8TGU5,P32910,0
P56976,P69937,0
Q3E801,P40484,0
P0CY04,P38858,0
Q99380,Q07923,0
P77091,P28912,1
Q8TGS7,P32602,1
P76164,P11289,1
P0CY04,P43605,0
P56976,P75777,0
P77091,P45465,1
P56976,P75788,0
P0C1Z1,Q12241,0
Q47272,P43319,0
P80967,Q04659,0
Q7TFA1,Q9BRX8,1
P34166,P40565,0
Q2EES1,P76084,0
Q47272,P39310,1
Q8TGU8,P0CX38,0
P0A7Q6,P16682,1
P0ADB7,P0AEP3,0
Q3E781,P36160,0
Q99380,P53152,0
Q3E813,P25335,0
Q99380,P17695,0
P34166,P40505,0
Q3E732,Q06819,0
P76164,P0A7Y4,0
P40975,P47157,0
P0A7Q6,P0A6N4,1
P56976,P00804,1
P0CY04,P38792,0
A0A663DJA2,Q9H3N1,1
P77091,P77179,0
Q3E7B0,Q05635,0
A0A663DJA2,P12004,1
Q7TFA1,Q9NX14,1
P0ADB7,P32056,1
Q3E813,P38326,0
P77091,P0A7M2,0
Q3E7Z6,P43563,0
A0A663DJA2,P38117,1
P0CY04,P0CX51,0
Q8TGT7,P00546,0
P56976,P0A887,1
Q3E7B0,Q08492,0
Q99380,Q06139,0
P0CY04,P38991,0
Q7TFA1,Q8WTS1,1
Q3E789,Q03691,0
Q3E7A6,P53961,0
P56976,Q46798,1
Q3E7A0,P32897,0
P0ADB7,P10441,0
P0ADB4,P07862,1
Q3E758,P41819,0
Q3E801,P43563,0
A0A663DJA2,P20042,1
P56976,P0AEG4,0
Q3E7A0,Q04603,0
Q8TGQ7,Q03768,0
P56976,P0ABC3,1
P0CY04,P30656,0
Q3E758,Q08920,0
Q99380,Q06058,0
A0A663DJA2,Q9UBE0,1
Q47272,P0AB43,1
Q3E7A0,Q3E792,0
Q99380,Q08492,0
Q7TFA1,Q96F25,1
Q3E843,P17536,0
P56976,P69210,0
Q8TGT2,Q03759,0
A0A663DJA2,P00387,1
Q3E801,P46948,0
Q99380,P06787,0
P62522,P0ADE8,0
Q7TFA1,O43291,1
P56976,P0AF96,1
P0AD89,P77280,1
Q3E741,P0CX82,0
Q3E737,P38300,0
P77091,P28638,1
P0A7Q6,P0ADE8,0
Q99380,P39547,0
P56976,P51981,0
P0CX86,P49167,1
P0ADB7,P0A6M2,0
Q99380,Q02767,0
A0A663DJA2,P23284,1
Q7TFA1,O94766,1
P56976,P0AAI9,0
Q7TFA1,Q9BUP3,1
P76164,P33554,1
Q8TGQ7,Q07927,0
Q99380,Q03723,1
P0CY04,P40484,0
P0ADB7,P0A817,1
P56976,P21151,0
Q99380,Q08723,0
Q3E758,P53123,1
P56976,P76206,0
A0A663DJA2,P62633,1
P0CY04,P36147,0
P36937,P43319,1
A0A663DJA2,Q8N183,1
Q8TGJ2,P14682,0
Q8TGS4,P35178,0
A0A663DJA2,O15400,1
P34068,P87297,1
Q7TFA1,Q6UXV4,1
P0ADB4,P0A725,1
Q8TGS7,Q06287,0
Q8TGQ7,P43563,0
P0A7Q6,P0A7Z4,0
Q7TFA1,O95150,1
P56976,P0AGH3,0
A0A663DJA2,Q7LG56,1
P77091,P0A729,0
Q8TGQ7,P20052,0
A0A663DJA2,Q99536,1
P0CY04,Q03778,0
Q3E741,P34162,0
Q47272,P75856,1
A0A663DJA2,Q9NS69,1
P0ADB4,P0ACC9,1
P0CY04,P40348,0
P0A7Q6,P39406,0
Q99380,P25296,0
Q99380,P40531,0
Q99380,Q04223,0
A0A663DJA2,P29966,1
P0ADB7,P0AEK2,1
Q8TGQ7,P38921,0
P76164,Q46897,0
Q8TGS7,Q03778,0
P0CX86,P05738,1
P63313,Q86U90,1
Q7TFA1,Q9H0P0,1
A0A663DJA2,Q9HAV7,1
Q8TGU1,P05318,0
P0CY04,Q04013,0
Q8TGT6,P38200,0
P34068,O14327,1
A0A663DJA2,P57052,1
P76164,P0AFB1,0
P0ADB7,P0AA25,1
P80967,P13902,0
P0A7Q6,P0A7U7,0
P0ADB4,P36548,1
Q47272,P39369,1
P64508,P33644,0
Q3E802,P22214,0
Q3E813,P47086,0
P63313,P07737,0
Q99380,Q12107,0
Q7TFA1,Q8N0U8,1
P0CX86,P05737,1
Q3E775,P17076,0
Q8TGQ7,P38172,0
P56976,P06611,0
P77091,Q46797,1
Q3E781,P23724,0
Q8TGV0,Q05498,0
P0ADB4,P32716,0
P34166,Q08504,0
Q3E813,Q05024,0
Q3E732,P38991,0
P56976,P76008,0
Q99380,P40056,0
P0ADB7,P0A742,0
Q8TGT6,P32524,0
Q3E732,P45820,0
P0ADB7,P37751,1
Q3E789,P36118,0
Q3E789,P0CX25,0
Q47272,P0A6X7,0
Q99380,Q04368,0
P0A7Q6,P0A8A2,0
Q3E7Y8,P41806,0
Q99380,P38837,0
Q8TGQ7,Q06148,0
P56976,P77712,0
P0CX86,P38912,0
P0CX86,P39015,1
A0A663DJA2,Q02978,1
P56976,P0C0T5,0
P56976,P75946,0
P0CY04,P41318,0
Q8TGU1,Q08963,0
Q8TGS7,Q08278,0
P56976,P45425,0
A0A663DJA2,Q15181,1
Q3E7Y8,P23248,0
P0ADB7,P0AA04,0
Q47272,P08372,1
Q3E789,Q04949,0
Q99380,P17106,0
P77091,P0A986,1
P56976,P0AEG1,1
P77091,P30149,0
P0C271,Q08746,0
Q3E801,P14682,0
P34166,P02400,0
Q99380,P25303,0
P0CX86,P38824,0
Q8TGS7,P07283,0
Q99380,P41544,0
Q99380,Q08952,0
P76164,P76219,0
P77091,P32664,0
Q99380,Q03677,0
Q3E737,Q05775,0
P80967,P28239,0
Q3E813,Q06524,0
Q8TGT8,Q99177,0
P0A7Q6,Q46832,1
Q3E7A0,P41546,0
Q99380,P40993,0
Q7TFA1,O95476,1
A0A663DJA2,P30041,1
P0ADB4,P02929,1
A0A663DJA2,P22061,1
A0A663DJA2,Q6IBS0,1
P56976,P39836,0
P76164,P76064,0
P56976,P32687,0
Q3E801,Q07508,0
Q99380,Q05776,1
P56976,P0A862,1
Q7TFA0,Q9NVA1,1
Q8TGU8,Q04599,0
P56976,P77737,0
P0A7Q6,P60723,0
Q7TFA1,Q7RTP0,1
P0ADB4,P0AAB2,0
Q99380,Q03096,0
Q3E808,Q12157,0
A0A663DJA2,P52298,1
P0ADB4,P37642,0
Q47272,P0A9E2,1
Q8TGQ7,Q00453,0
P0ADB4,P45762,1
P0CX86,P04650,1
Q3E7Z9,Q07418,0
P0ADB4,P0ACZ2,0
P0A7Q6,Q57261,0
Q3E7B0,P53123,0
P56976,P69212,1
P0ADD9,Q46927,0
Q8TGU1,Q02205,0
Q3E843,Q06144,0
Q3E789,P43563,0
P0C271,P43577,0
P34166,P05375,0
Q8TGT6,P38087,0
P37305,P08371,1
P77091,P45748,1
Q99380,P40471,1
P56976,P27300,0
P0ADB4,P75948,0
Q3E801,P22214,0
P0ADB7,P39369,0
Q7TFA1,Q9NV92,1
Q8TGT1,P40484,0
Q99380,P48439,0
P0ADB4,P0A6J8,1
P77091,P77206,1
P56976,P0A935,1
P0CY04,P40573,0
Q3E801,P25586,0
Q3E781,P38877,0
Q7TFA1,Q8IY95,1
Q3E775,Q07747,0
P56976,P46022,1
Q3E801,P28320,1
P77091,P76066,0
P56976,Q46836,0
P56976,P21645,1
Q3E7A0,P38235,0
Q3E820,Q06667,0
Q3E7Z7,P53942,0
Q3E737,P47155,0
P77091,Q79E92,0
P0ADB4,P0A6B4,0
P80967,P57744,0
Q8TGU1,P38877,0
P56976,P07021,1
P0A7Q6,P61316,0
P56976,P77173,0
Q47272,P77607,1
Q3E843,Q06213,0
Q8TGS6,P35719,0
P0ADB7,P27833,0
Q99380,P21243,0
A0A663DJA2,Q9NR31,1
A0A663DJA2,P13804,1
P56976,P0A8Q0,0
Q99380,P25344,0
Q47272,Q46897,1
Q99380,P23248,0
Q47272,P76100,1
Q3E801,Q08746,0
P0AD83,P39346,0
Q99380,P53929,0
A0A663DJA2,P61019,1
Q8TGS7,P14724,1
P0CX86,P56628,1
P0ADB7,P0A6S7,1
P77091,P0C077,1
A0A663DJA2,P46783,1
Q99380,P32939,0
P76061,P37344,0
Q3E781,Q9URQ3,0
Q99380,P38843,0
A0A663DJA2,Q9NYL9,1
Q7TFA1,Q53TN4,1
Q3E7Z7,Q08474,0
A0A663DJA2,O94905,1
Q3E801,Q02260,0
Q99380,Q06144,0
P0CY04,P53600,0
Q3E781,P06785,0
Q8TGT8,P40042,0
Q8TGV0,P36095,0
P40975,O60200,0
P56976,P76081,0
P0CX86,Q04978,0
P64442,P0A6N4,1
P0ADB4,P39836,0
Q8TGQ7,P36149,0
Q7TFA1,Q8N2U0,1
Q3E808,Q12328,0
P20065,Q9CPU7,1
Q47272,P0ACH5,0
Q8TGT6,P36135,0
P56976,P27128,0
Q8TGU1,P53910,0
Q7TFA1,P61165,1
P0ADB4,P77293,1
P0ADB4,Q46896,1
P0ADB4,P75804,1
P56976,P46122,0
Q99380,P40057,0
Q47272,P42907,0
Q7TFA1,Q9H6V9,1
Q8TGU1,P47089,0
P0CY04,Q06389,0
Q8TGU1,P40471,0
A0A663DJA2,P49006,1
Q8TGT2,P38782,0
Q8TGV0,Q05776,0
A0A663DJA2,P45880,1
Q3E7B0,Q03435,0
P34166,Q03067,0
P0A7Q6,P31134,0
P76164,P76119,0
P77091,P39380,1
Q47272,P27838,1
P0ADB7,P61316,0
Q47272,P76165,1
P0ADB4,P0A937,0
A0A663DJA2,P38117,1
P34166,O13516,0
P0CY04,Q03954,0
P0CY04,Q3E792,0
P34069,O36016,0
Q99380,P38307,0
A0A663DJA2,Q07955,1
P34166,P22289,0
Q2EES6,P39346,1
Q99380,Q3E6R4,0
P0ADB4,P65298,0
A0A663DJA2,Q9Y5J9,1
Q8TGS5,P43563,0
Q3E758,P14682,0
P0ADB4,P0AA91,0
P0ADB4,P62620,1
P56976,P0AFW8,0
P0C269,P36110,0
Q3E837,P43563,0
P0ADB4,P64596,0
P0A7Q6,P10423,0
Q8TGQ7,P46972,0
Q99380,Q04178,0
P34166,P40473,0
Q99380,P53720,0
P77091,P38394,1
P76164,P00903,0
P56976,P77202,0
Q3E732,P53224,0
P0ADB7,P0C960,1
P0CX86,P0CX44,1
P0CX86,P53598,0
Q3E741,Q03691,0
Q3E818,P34087,0
P77091,P76182,0
Q8TGQ7,Q02205,0
Q47272,P33366,1
Q99380,P0CF20,0
Q99380,P53961,0
P56976,P25960,1
Q99380,P40096,0
Q3E813,P39549,0
P0CX86,P05748,1
Q3E778,P11746,0
P77091,P0A814,0
Q99380,P0CX38,0
Q99380,P36036,0
Q99380,P20486,0
Q8TGU1,Q04004,0
P0ADB4,P06611,0
P0ADB7,P02929,0
A0A663DJA2,Q9Y3B3,1
A0A663DJA2,O95292,1
Q3E781,Q99190,0
Q8TGS6,P31116,0
Q8TGS7,P40518,0
Q3E774,P53039,0
P0A7Q6,P0A7Q1,0
P0ADB7,P37747,0
P77091,P09372,1
Q8TGV0,P40084,0
Q99380,P25385,0
Q8TGU1,P39543,0
Q3E7Z9,Q05775,0
P0ADB7,P0AG86,1
Q3E801,P22804,0
P76164,P0ABE2,1
P77091,Q46796,0
Q47272,P29010,0
P56976,P36678,0
Q99380,P32473,0
Q3E7Y7,P34087,0
P56976,P04951,0
Q8TGT7,Q12157,0
A0A663DJA2,Q15370,1
P77091,P05523,1
Q8TGS7,Q12522,1
P0ADB4,P0AC05,0
P37305,P0A6N4,1
Q99380,O13547,0
P0ADB4,P21645,1
P0CX86,P05740,1
P0CX86,Q12000,1
P0ADB4,P21151,0
Q7TFA1,Q9HBH5,1
Q6BF25,P0A6B4,0
P76164,P76066,0
Q3E732,P38011,0
Q3E7A6,P25299,0
A0A663DJA2,Q9BU02,1
P0ADB4,P0A790,1
P77091,P77607,1
